 Hemisphere(NH=1_SH=2)  Month   Pressure    CO_Climatology
           1           3   729.885986       6.29660022E-08
           1           3   753.627991       6.29440038E-08
           1           3   777.789978       6.29040002E-08
           1           3   802.370972       6.28050003E-08
           1           3   827.370972       6.26880023E-08
           1           3   852.788025       6.25209964E-08
           1           3   878.619995       6.21069987E-08
           1           3   904.866028       6.20260039E-08
           1           3   931.523987       6.18329992E-08
           1           3   958.591003       6.16570048E-08
           1           3   986.067017       6.14850038E-08
           1           3   1013.94800       6.13100042E-08
           1           3   1042.23206       6.10880022E-08
           1           3   1070.91699       6.09360029E-08
           1           3   1100.00000       6.08520025E-08
           1           4   1.60000008E-02   1.75132197E-06
           1           4   3.79999988E-02   6.52200015E-07
           1           4   7.69999996E-02   3.13632995E-07
           1           4  0.136999995       1.98205996E-07
           1           4  0.224000007       1.32750003E-07
           1           4  0.344999999       9.31949984E-08
           1           4  0.505999982       6.91480011E-08
           1           4  0.713999987       5.57100002E-08
           1           4  0.975000024       4.52350015E-08
           1           4   1.29700005       3.73860018E-08
           1           4   1.68700004       3.29690018E-08
           1           4   2.15300012       2.95830009E-08
           1           4   2.70099998       2.69909997E-08
           1           4   3.33999991       2.49419987E-08
           1           4   4.07700014       2.33840005E-08
           1           4   4.92000008       2.20590000E-08
           1           4   5.87799978       2.09759996E-08
           1           4   6.95699978       2.01939994E-08
           1           4   8.16499996       1.96349994E-08
           1           4   9.51200008       1.92949994E-08
           1           4   11.0039997       1.90860003E-08
           1           4   12.6490002       1.89270004E-08
           1           4   14.4560003       1.88379996E-08
           1           4   16.4319992       1.87599998E-08
           1           4   18.5849991       1.86739992E-08
           1           4   20.9220009       1.85840001E-08
           1           4   23.4529991       1.84389997E-08
           1           4   26.1830006       1.82430000E-08
           1           4   29.1210003       1.79369994E-08
           1           4   32.2739983       1.75130008E-08
           1           4   35.6510010       1.70680003E-08
           1           4   39.2570000       1.66589995E-08
           1           4   43.0999985       1.64029998E-08
           1           4   47.1879997       1.62999996E-08
           1           4   51.5279999       1.65389995E-08
           1           4   56.1259995       1.71290004E-08
           1           4   60.9889984       1.82530009E-08
           1           4   66.1250000       1.96870005E-08
           1           4   71.5400009       2.15900009E-08
           1           4   77.2399979       2.35070008E-08
           1           4   83.2310028       2.55129997E-08
           1           4   89.5199966       2.75210006E-08
           1           4   96.1139984       2.97849994E-08
           1           4   103.016998       3.19950004E-08
           1           4   110.237000       3.42070017E-08
           1           4   117.777000       3.63779975E-08
           1           4   125.646004       3.83539991E-08
           1           4   133.845993       4.01059985E-08
           1           4   142.384995       4.18189998E-08
           1           4   151.266006       4.34089991E-08
           1           4   160.496002       4.49559998E-08
           1           4   170.078003       4.65089975E-08
           1           4   180.018005       4.82309979E-08
           1           4   190.320007       4.99189987E-08
           1           4   200.988998       5.16310017E-08
           1           4   212.028000       5.34230011E-08
           1           4   223.440994       5.51799992E-08
           1           4   235.233994       5.68599994E-08
           1           4   247.408005       5.82499986E-08
           1           4   259.968994       5.96130008E-08
           1           4   272.919006       6.09109989E-08
           1           4   286.261993       6.16829965E-08
           1           4   300.000000       6.24079988E-08
           1           4   314.136993       6.30999963E-08
           1           4   328.674988       6.35689972E-08
           1           4   343.618011       6.38930047E-08
           1           4   358.966003       6.41890026E-08
           1           4   374.723999       6.43310045E-08
           1           4   390.893005       6.44089937E-08
           1           4   407.473999       6.44290026E-08
           1           4   424.470001       6.43809983E-08
           1           4   441.881989       6.43150031E-08
           1           4   459.712006       6.41979980E-08
           1           4   477.960999       6.40719975E-08
           1           4   496.630005       6.39319993E-08
           1           4   515.719971       6.37929958E-08
           1           4   535.231995       6.36599964E-08
           1           4   555.166992       6.35330011E-08
           1           4   575.525024       6.34300008E-08
           1           4   596.306030       6.33420001E-08
           1           4   617.510986       6.32510009E-08
           1           4   639.140015       6.32050003E-08
           1           4   661.192017       6.31469987E-08
           1           4   683.666992       6.31589998E-08
           1           4   706.565002       6.31900008E-08
           1           4   729.885986       6.32140029E-08
           1           4   753.627991       6.32220036E-08
           1           4   777.789978       6.31689971E-08
           1           4   802.370972       6.30779979E-08
           1           4   827.370972       6.29639985E-08
           1           4   852.788025       6.28199999E-08
           1           4   878.619995       6.25430019E-08
           1           4   904.866028       6.24490042E-08
           1           4   931.523987       6.22920027E-08
           1           4   958.591003       6.21510026E-08
           1           4   986.067017       6.20119991E-08
           1           4   1013.94800       6.18709990E-08
           1           4   1042.23206       6.16869968E-08
           1           4   1070.91699       6.15659985E-08
           1           4   1100.00000       6.15049984E-08
           1           5   1.60000008E-02   1.75132197E-06
           1           5   3.79999988E-02   6.52200015E-07
           1           5   7.69999996E-02   3.13632995E-07
           1           5  0.136999995       1.98205996E-07
           1           5  0.224000007       1.32750003E-07
           1           5  0.344999999       9.31949984E-08
           1           5  0.505999982       6.91480011E-08
           1           5  0.713999987       5.57100002E-08
           1           5  0.975000024       4.52350015E-08
           1           5   1.29700005       3.73860018E-08
           1           5   1.68700004       3.29690018E-08
           1           5   2.15300012       2.95830009E-08
           1           5   2.70099998       2.70030007E-08
           1           5   3.33999991       2.49729997E-08
           1           5   4.07700014       2.34109994E-08
           1           5   4.92000008       2.20630003E-08
           1           5   5.87799978       2.09549995E-08
           1           5   6.95699978       2.01529993E-08
           1           5   8.16499996       1.95870005E-08
           1           5   9.51200008       1.92590015E-08
           1           5   11.0039997       1.90830001E-08
           1           5   12.6490002       1.89559994E-08
           1           5   14.4560003       1.89009999E-08
           1           5   16.4319992       1.88530009E-08
           1           5   18.5849991       1.87840001E-08
           1           5   20.9220009       1.86880005E-08
           1           5   23.4529991       1.85189997E-08
           1           5   26.1830006       1.82889988E-08
           1           5   29.1210003       1.79589996E-08
           1           5   32.2739983       1.75229999E-08
           1           5   35.6510010       1.70939991E-08
           1           5   39.2570000       1.67060001E-08
           1           5   43.0999985       1.64680003E-08
           1           5   47.1879997       1.63600014E-08
           1           5   51.5279999       1.65429999E-08
           1           5   56.1259995       1.70739991E-08
           1           5   60.9889984       1.81329991E-08
           1           5   66.1250000       1.95599998E-08
           1           5   71.5400009       2.15389999E-08
           1           5   77.2399979       2.36000002E-08
           1           5   83.2310028       2.58910013E-08
           1           5   89.5199966       2.81509998E-08
           1           5   96.1139984       3.05130001E-08
           1           5   103.016998       3.28160006E-08
           1           5   110.237000       3.50849980E-08
           1           5   117.777000       3.73059983E-08
           1           5   125.646004       3.93769994E-08
           1           5   133.845993       4.12809982E-08
           1           5   142.384995       4.31430003E-08
           1           5   151.266006       4.48420003E-08
           1           5   160.496002       4.64909995E-08
           1           5   170.078003       4.81479994E-08
           1           5   180.018005       4.99930017E-08
           1           5   190.320007       5.18019974E-08
           1           5   200.988998       5.36089999E-08
           1           5   212.028000       5.54399975E-08
           1           5   223.440994       5.72360008E-08
           1           5   235.233994       5.89150027E-08
           1           5   247.408005       6.02559993E-08
           1           5   259.968994       6.15649967E-08
           1           5   272.919006       6.27969996E-08
           1           5   286.261993       6.35190034E-08
           1           5   300.000000       6.41939977E-08
           1           5   314.136993       6.48369962E-08
           1           5   328.674988       6.52639969E-08
           1           5   343.618011       6.55509993E-08
           1           5   358.966003       6.58079955E-08
           1           5   374.723999       6.59169999E-08
           1           5   390.893005       6.59649970E-08
           1           5   407.473999       6.59660060E-08
           1           5   424.470001       6.59169999E-08
           1           5   441.881989       6.58559998E-08
           1           5   459.712006       6.57620021E-08
           1           5   477.960999       6.56649988E-08
           1           5   496.630005       6.55539978E-08
           1           5   515.719971       6.54450005E-08
           1           5   535.231995       6.53329977E-08
           1           5   555.166992       6.52240004E-08
           1           5   575.525024       6.51220020E-08
           1           5   596.306030       6.50300009E-08
           1           5   617.510986       6.49520047E-08
           1           5   639.140015       6.49000000E-08
           1           5   661.192017       6.49140048E-08
           1           5   683.666992       6.49769945E-08
           1           5   706.565002       6.50199965E-08
           1           5   729.885986       6.50390035E-08
           1           5   753.627991       6.50579963E-08
           1           5   777.789978       6.50549978E-08
           1           5   802.370972       6.49960015E-08
           1           5   827.370972       6.49029985E-08
           1           5   852.788025       6.47919975E-08
           1           5   878.619995       6.45850022E-08
           1           5   904.866028       6.45109992E-08
           1           5   931.523987       6.43830020E-08
           1           5   958.591003       6.42720011E-08
           1           5   986.067017       6.41669970E-08
           1           5   1013.94800       6.40619930E-08
           1           5   1042.23206       6.39309974E-08
           1           5   1070.91699       6.38429967E-08
           1           5   1100.00000       6.37970032E-08
           1           6   1.60000008E-02   1.75132197E-06
           1           6   3.79999988E-02   6.52200015E-07
           1           6   7.69999996E-02   3.13632995E-07
           1           6  0.136999995       1.98205996E-07
           1           6  0.224000007       1.32750003E-07
           1           6  0.344999999       9.31949984E-08
           1           6  0.505999982       6.91480011E-08
           1           6  0.713999987       5.57100002E-08
           1           6  0.975000024       4.52350015E-08
           1           6   1.29700005       3.73860018E-08
           1           6   1.68700004       3.29690018E-08
           1           6   2.15300012       2.95830009E-08
           1           6   2.70099998       2.70580003E-08
           1           6   3.33999991       2.51770000E-08
           1           6   4.07700014       2.37119995E-08
           1           6   4.92000008       2.23579999E-08
           1           6   5.87799978       2.11709992E-08
           1           6   6.95699978       2.02630002E-08
           1           6   8.16499996       1.96060004E-08
           1           6   9.51200008       1.92299989E-08
           1           6   11.0039997       1.90460003E-08
           1           6   12.6490002       1.89480005E-08
           1           6   14.4560003       1.89389997E-08
           1           6   16.4319992       1.89489988E-08
           1           6   18.5849991       1.89360012E-08
           1           6   20.9220009       1.88809999E-08
           1           6   23.4529991       1.87339992E-08
           1           6   26.1830006       1.84830000E-08
           1           6   29.1210003       1.81270003E-08
           1           6   32.2739983       1.76619999E-08
           1           6   35.6510010       1.72299988E-08
           1           6   39.2570000       1.68409997E-08
           1           6   43.0999985       1.65969993E-08
           1           6   47.1879997       1.64540008E-08
           1           6   51.5279999       1.65330007E-08
           1           6   56.1259995       1.69330008E-08
           1           6   60.9889984       1.78150010E-08
           1           6   66.1250000       1.91159995E-08
           1           6   71.5400009       2.10400017E-08
           1           6   77.2399979       2.31060007E-08
           1           6   83.2310028       2.55259991E-08
           1           6   89.5199966       2.79059993E-08
           1           6   96.1139984       3.03509999E-08
           1           6   103.016998       3.27369989E-08
           1           6   110.237000       3.49819977E-08
           1           6   117.777000       3.71639999E-08
           1           6   125.646004       3.91850001E-08
           1           6   133.845993       4.10250003E-08
           1           6   142.384995       4.28240021E-08
           1           6   151.266006       4.46259989E-08
           1           6   160.496002       4.63969982E-08
           1           6   170.078003       4.81949982E-08
           1           6   180.018005       5.02849993E-08
           1           6   190.320007       5.23339985E-08
           1           6   200.988998       5.43510019E-08
           1           6   212.028000       5.63380027E-08
           1           6   223.440994       5.82859983E-08
           1           6   235.233994       6.00870038E-08
           1           6   247.408005       6.15089988E-08
           1           6   259.968994       6.28999999E-08
           1           6   272.919006       6.42139995E-08
           1           6   286.261993       6.49970033E-08
           1           6   300.000000       6.57270007E-08
           1           6   314.136993       6.64189983E-08
           1           6   328.674988       6.68769999E-08
           1           6   343.618011       6.71839970E-08
           1           6   358.966003       6.74680010E-08
           1           6   374.723999       6.76019951E-08
           1           6   390.893005       6.76670027E-08
           1           6   407.473999       6.76989984E-08
           1           6   424.470001       6.76890011E-08
           1           6   441.881989       6.76729996E-08
           1           6   459.712006       6.76539997E-08
           1           6   477.960999       6.76320013E-08
           1           6   496.630005       6.75989966E-08
           1           6   515.719971       6.75670009E-08
           1           6   535.231995       6.75359999E-08
           1           6   555.166992       6.75100011E-08
           1           6   575.525024       6.74980001E-08
           1           6   596.306030       6.75100011E-08
           1           6   617.510986       6.75689975E-08
           1           6   639.140015       6.77109995E-08
           1           6   661.192017       6.79729979E-08
           1           6   683.666992       6.83089993E-08
           1           6   706.565002       6.85829988E-08
           1           6   729.885986       6.87870028E-08
           1           6   753.627991       6.89599986E-08
           1           6   777.789978       6.90800022E-08
           1           6   802.370972       6.91100013E-08
           1           6   827.370972       6.90619970E-08
           1           6   852.788025       6.90039954E-08
           1           6   878.619995       6.87809987E-08
           1           6   904.866028       6.87760036E-08
           1           6   931.523987       6.86770036E-08
           1           6   958.591003       6.85970036E-08
           1           6   986.067017       6.85289976E-08
           1           6   1013.94800       6.84689994E-08
           1           6   1042.23206       6.83860009E-08
           1           6   1070.91699       6.83469992E-08
           1           6   1100.00000       6.83499977E-08
           1           7   1.60000008E-02   1.75132197E-06
           1           7   3.79999988E-02   6.52200015E-07
           1           7   7.69999996E-02   3.13632995E-07
           1           7  0.136999995       1.98205996E-07
           1           7  0.224000007       1.32750003E-07
           1           7  0.344999999       9.31949984E-08
           1           7  0.505999982       6.91480011E-08
           1           7  0.713999987       5.57100002E-08
           1           7  0.975000024       4.52350015E-08
           1           7   1.29700005       3.73860018E-08
           1           7   1.68700004       3.29690018E-08
           1           7   2.15300012       2.95830009E-08
           1           7   2.70099998       2.71060010E-08
           1           7   3.33999991       2.55009986E-08
           1           7   4.07700014       2.45380001E-08
           1           7   4.92000008       2.36060007E-08
           1           7   5.87799978       2.25200001E-08
           1           7   6.95699978       2.14210001E-08
           1           7   8.16499996       2.04129993E-08
           1           7   9.51200008       1.96870005E-08
           1           7   11.0039997       1.92409999E-08
           1           7   12.6490002       1.90280005E-08
           1           7   14.4560003       1.89430001E-08
           1           7   16.4319992       1.89349993E-08
           1           7   18.5849991       1.89599998E-08
           1           7   20.9220009       1.89599998E-08
           1           7   23.4529991       1.88759994E-08
           1           7   26.1830006       1.86679987E-08
           1           7   29.1210003       1.83290005E-08
           1           7   32.2739983       1.78549993E-08
           1           7   35.6510010       1.74130008E-08
           1           7   39.2570000       1.70139991E-08
           1           7   43.0999985       1.67470002E-08
           1           7   47.1879997       1.65599996E-08
           1           7   51.5279999       1.65409997E-08
           1           7   56.1259995       1.68050001E-08
           1           7   60.9889984       1.74960011E-08
           1           7   66.1250000       1.86230000E-08
           1           7   71.5400009       2.03969996E-08
           1           7   77.2399979       2.23630003E-08
           1           7   83.2310028       2.47840006E-08
           1           7   89.5199966       2.71489995E-08
           1           7   96.1139984       2.94850011E-08
           1           7   103.016998       3.17649977E-08
           1           7   110.237000       3.40059998E-08
           1           7   117.777000       3.61999994E-08
           1           7   125.646004       3.82770011E-08
           1           7   133.845993       4.02260021E-08
           1           7   142.384995       4.21329993E-08
           1           7   151.266006       4.41129977E-08
           1           7   160.496002       4.60690011E-08
           1           7   170.078003       4.80509996E-08
           1           7   180.018005       5.03359985E-08
           1           7   190.320007       5.25759987E-08
           1           7   200.988998       5.47890018E-08
           1           7   212.028000       5.69959973E-08
           1           7   223.440994       5.91600013E-08
           1           7   235.233994       6.11469986E-08
           1           7   247.408005       6.27190033E-08
           1           7   259.968994       6.42539959E-08
           1           7   272.919006       6.56910046E-08
           1           7   286.261993       6.65329978E-08
           1           7   300.000000       6.73170035E-08
           1           7   314.136993       6.80630023E-08
           1           7   328.674988       6.85570001E-08
           1           7   343.618011       6.88899959E-08
           1           7   358.966003       6.92009934E-08
           1           7   374.723999       6.93669975E-08
           1           7   390.893005       6.94699978E-08
           1           7   407.473999       6.95360001E-08
           1           7   424.470001       6.95619988E-08
           1           7   441.881989       6.95869957E-08
           1           7   459.712006       6.96149982E-08
