 Lat   Pressure    CH4_Climatology
  -88.0000000       1042.19995       1765.41907    
  -88.0000000       1070.90002       1767.03015    
  -88.0000000       1100.00000       1768.73303    
  -87.0000000       1.60000008E-02   160.622803    
  -87.0000000       3.79999988E-02   162.354736    
  -87.0000000       7.69999996E-02   163.289062    
  -87.0000000      0.136999995       163.263062    
  -87.0000000      0.224000007       162.565186    
  -87.0000000      0.344999999       161.833740    
  -87.0000000      0.505999982       161.990601    
  -87.0000000      0.713999987       164.028076    
  -87.0000000      0.975000024       168.819214    
  -87.0000000       1.29700005       177.040649    
  -87.0000000       1.68700004       189.102051    
  -87.0000000       2.15300012       205.235107    
  -87.0000000       2.70099998       225.436035    
  -87.0000000       3.33999991       249.708252    
  -87.0000000       4.07700014       277.916016    
  -87.0000000       4.92000008       309.926514    
  -87.0000000       5.87799978       345.593994    
  -87.0000000       6.95699978       384.622742    
  -87.0000000       8.16499996       426.755310    
  -87.0000000       9.51200008       471.745117    
  -87.0000000       11.0039997       519.171204    
  -87.0000000       12.6490002       568.647949    
  -87.0000000       14.4560003       619.789124    
  -87.0000000       16.4319992       672.147644    
  -87.0000000       18.5849991       725.306030    
  -87.0000000       20.9220009       778.844360    
  -87.0000000       23.4529991       832.427612    
  -87.0000000       26.1830006       885.644836    
  -87.0000000       29.1210003       938.197937    
  -87.0000000       32.2739983       989.785095    
  -87.0000000       35.6510010       1040.16138    
  -87.0000000       39.2570000       1089.05273    
  -87.0000000       43.0999985       1136.26721    
  -87.0000000       47.1879997       1181.63940    
  -87.0000000       51.5279999       1225.01953    
  -87.0000000       56.1259995       1266.29016    
  -87.0000000       60.9889984       1305.37573    
  -87.0000000       66.1250000       1342.23474    
  -87.0000000       71.5400009       1376.83716    
  -87.0000000       77.2399979       1409.19641    
  -87.0000000       83.2310028       1439.33313    
  -87.0000000       89.5199966       1467.31824    
  -87.0000000       96.1139984       1493.23376    
  -87.0000000       103.019997       1517.18921    
  -87.0000000       110.239998       1539.31067    
  -87.0000000       117.779999       1559.76099    
  -87.0000000       125.650002       1578.74634    
  -87.0000000       133.850006       1596.46509    
  -87.0000000       142.380005       1613.14734    
  -87.0000000       151.270004       1629.07678    
  -87.0000000       160.500000       1644.43213    
  -87.0000000       170.080002       1659.39612    
  -87.0000000       180.020004       1674.05566    
  -87.0000000       190.320007       1688.34424    
  -87.0000000       200.990005       1702.01013    
  -87.0000000       212.029999       1714.62048    
  -87.0000000       223.440002       1725.61487    
  -87.0000000       235.229996       1734.49829    
  -87.0000000       247.410004       1741.00098    
  -87.0000000       259.970001       1745.22021    
  -87.0000000       272.920013       1747.62732    
  -87.0000000       286.260010       1748.85242    
  -87.0000000       300.000000       1749.45020    
  -87.0000000       314.140015       1749.76624    
  -87.0000000       328.670013       1749.96082    
  -87.0000000       343.619995       1750.08569    
  -87.0000000       358.970001       1750.16260    
  -87.0000000       374.720001       1750.20264    
  -87.0000000       390.890015       1750.21594    
  -87.0000000       407.470001       1750.20520    
  -87.0000000       424.470001       1750.19019    
  -87.0000000       441.880005       1750.16589    
  -87.0000000       459.709991       1750.14502    
  -87.0000000       477.959991       1750.13843    
  -87.0000000       496.630005       1750.14844    
  -87.0000000       515.719971       1750.18091    
  -87.0000000       535.229980       1750.24109    
  -87.0000000       555.169983       1750.33704    
  -87.0000000       575.530029       1750.47302    
  -87.0000000       596.309998       1750.65417    
  -87.0000000       617.510010       1750.87878    
  -87.0000000       639.140015       1751.16187    
  -87.0000000       661.190002       1751.50000    
  -87.0000000       683.669983       1751.90100    
  -87.0000000       706.570007       1752.36218    
  -87.0000000       729.890015       1752.89197    
  -87.0000000       753.630005       1753.49390    
  -87.0000000       777.789978       1754.16467    
  -87.0000000       802.369995       1754.91589    
  -87.0000000       827.369995       1755.74036    
  -87.0000000       852.789978       1756.64893    
  -87.0000000       878.619995       1757.63928    
  -87.0000000       904.869995       1758.71240    
  -87.0000000       931.520020       1759.86755    
  -87.0000000       958.590027       1761.11841    
  -87.0000000       986.070007       1762.45239    
  -87.0000000       1013.90002       1763.87329    
  -87.0000000       1042.19995       1765.39124    
  -87.0000000       1070.90002       1766.99902    
  -87.0000000       1100.00000       1768.70264    
  -86.0000000       1.60000008E-02   160.974854    
  -86.0000000       3.79999988E-02   162.707520    
  -86.0000000       7.69999996E-02   163.645386    
  -86.0000000      0.136999995       163.621216    
  -86.0000000      0.224000007       162.927856    
  -86.0000000      0.344999999       162.202881    
  -86.0000000      0.505999982       162.368408    
  -86.0000000      0.713999987       164.420166    
  -86.0000000      0.975000024       169.231445    
  -86.0000000       1.29700005       177.477539    
  -86.0000000       1.68700004       189.573486    
  -86.0000000       2.15300012       205.746582    
  -86.0000000       2.70099998       225.995605    
  -86.0000000       3.33999991       250.322998    
  -86.0000000       4.07700014       278.597534    
  -86.0000000       4.92000008       310.679688    
  -86.0000000       5.87799978       346.424194    
  -86.0000000       6.95699978       385.535889    
  -86.0000000       8.16499996       427.756165    
  -86.0000000       9.51200008       472.835449    
  -86.0000000       11.0039997       520.354065    
  -86.0000000       12.6490002       569.919250    
  -86.0000000       14.4560003       621.148254    
  -86.0000000       16.4319992       673.589111    
  -86.0000000       18.5849991       726.825500    
  -86.0000000       20.9220009       780.433105    
  -86.0000000       23.4529991       834.077332    
  -86.0000000       26.1830006       887.346436    
  -86.0000000       29.1210003       939.941345    
  -86.0000000       32.2739983       991.557434    
  -86.0000000       35.6510010       1041.95203    
  -86.0000000       39.2570000       1090.84888    
  -86.0000000       43.0999985       1138.05859    
  -86.0000000       47.1879997       1183.41382    
  -86.0000000       51.5279999       1226.76794    
  -86.0000000       56.1259995       1268.00171    
  -86.0000000       60.9889984       1307.04114    
  -86.0000000       66.1250000       1343.85010    
  -86.0000000       71.5400009       1378.39539    
  -86.0000000       77.2399979       1410.68933    
  -86.0000000       83.2310028       1440.76147    
  -86.0000000       89.5199966       1468.67700    
  -86.0000000       96.1139984       1494.51965    
  -86.0000000       103.019997       1518.40295    
  -86.0000000       110.239998       1540.44983    
  -86.0000000       117.779999       1560.83020    
  -86.0000000       125.650002       1579.74133    
  -86.0000000       133.850006       1597.38574    
  -86.0000000       142.380005       1613.99426    
  -86.0000000       151.270004       1629.84619    
  -86.0000000       160.500000       1645.12134    
  -86.0000000       170.080002       1660.00183    
  -86.0000000       180.020004       1674.57703    
  -86.0000000       190.320007       1688.77563    
  -86.0000000       200.990005       1702.35437    
  -86.0000000       212.029999       1714.88074    
  -86.0000000       223.440002       1725.79980    
  -86.0000000       235.229996       1734.62158    
  -86.0000000       247.410004       1741.07739    
  -86.0000000       259.970001       1745.26965    
  -86.0000000       272.920013       1747.66101    
  -86.0000000       286.260010       1748.87842    
  -86.0000000       300.000000       1749.46826    
  -86.0000000       314.140015       1749.78308    
  -86.0000000       328.670013       1749.97583    
  -86.0000000       343.619995       1750.09827    
  -86.0000000       358.970001       1750.17261    
  -86.0000000       374.720001       1750.21094    
  -86.0000000       390.890015       1750.21936    
  -86.0000000       407.470001       1750.21179    
  -86.0000000       424.470001       1750.18591    
  -86.0000000       441.880005       1750.16345    
  -86.0000000       459.709991       1750.14343    
  -86.0000000       477.959991       1750.13416    
  -86.0000000       496.630005       1750.14001    
  -86.0000000       515.719971       1750.17175    
  -86.0000000       535.229980       1750.22937    
  -86.0000000       555.169983       1750.32361    
  -86.0000000       575.530029       1750.45642    
  -86.0000000       596.309998       1750.63501    
  -86.0000000       617.510010       1750.86377    
  -86.0000000       639.140015       1751.14172    
  -86.0000000       661.190002       1751.47754    
  -86.0000000       683.669983       1751.87756    
  -86.0000000       706.570007       1752.33704    
  -86.0000000       729.890015       1752.86609    
  -86.0000000       753.630005       1753.46631    
  -86.0000000       777.789978       1754.13867    
  -86.0000000       802.369995       1754.88574    
  -86.0000000       827.369995       1755.70935    
  -86.0000000       852.789978       1756.61548    
  -86.0000000       878.619995       1757.60156    
  -86.0000000       904.869995       1758.67383    
  -86.0000000       931.520020       1759.82983    
  -86.0000000       958.590027       1761.07556    
  -86.0000000       986.070007       1762.40955    
  -86.0000000       1013.90002       1763.83044    
  -86.0000000       1042.19995       1765.34497    
  -86.0000000       1070.90002       1766.95435    
  -86.0000000       1100.00000       1768.65454    
  -85.0000000       1.60000008E-02   161.426880    
  -85.0000000       3.79999988E-02   163.161865    
  -85.0000000       7.69999996E-02   164.099365    
  -85.0000000      0.136999995       164.081055    
  -85.0000000      0.224000007       163.392456    
  -85.0000000      0.344999999       162.676025    
  -85.0000000      0.505999982       162.852905    
  -85.0000000      0.713999987       164.922974    
  -85.0000000      0.975000024       169.759888    
  -85.0000000       1.29700005       178.038940    
  -85.0000000       1.68700004       190.177979    
  -85.0000000       2.15300012       206.402832    
  -85.0000000       2.70099998       226.714600    
  -85.0000000       3.33999991       251.115601    
  -85.0000000       4.07700014       279.471313    
  -85.0000000       4.92000008       311.643799    
  -85.0000000       5.87799978       347.489136    
  -85.0000000       6.95699978       386.707275    
  -85.0000000       8.16499996       429.039246    
  -85.0000000       9.51200008       474.232849    
  -85.0000000       11.0039997       521.866882    
  -85.0000000       12.6490002       571.547241    
  -85.0000000       14.4560003       622.888123    
  -85.0000000       16.4319992       675.435425    
  -85.0000000       18.5849991       728.770264    
  -85.0000000       20.9220009       782.466248    
  -85.0000000       23.4529991       836.189819    
  -85.0000000       26.1830006       889.523926    
  -85.0000000       29.1210003       942.169189    
  -85.0000000       32.2739983       993.822815    
  -85.0000000       35.6510010       1044.23975    
  -85.0000000       39.2570000       1093.14551    
  -85.0000000       43.0999985       1140.34644    
  -85.0000000       47.1879997       1185.67908    
  -85.0000000       51.5279999       1228.99841    
  -85.0000000       56.1259995       1270.18787    
  -85.0000000       60.9889984       1309.16772    
  -85.0000000       66.1250000       1345.90869    
  -85.0000000       71.5400009       1380.38110    
  -85.0000000       77.2399979       1412.59448    
  -85.0000000       83.2310028       1442.58069    
  -85.0000000       89.5199966       1470.40637    
  -85.0000000       96.1139984       1496.15674    
  -85.0000000       103.019997       1519.95056    
